scan_id,timestamp,lat,lon,ssid,mac,rssi
207,2026-02-17 10:47:13,35.51938,11.03401,PIX-LINK,90:91:64:25:C9:45,-76
207,2026-02-17 10:47:13,35.51938,11.03401,Orange-0222,02:7E:DE:22:02:24,-85
207,2026-02-17 10:47:13,35.51938,11.03401,Ooredoo-X17M-283C77,D8:42:F7:28:3C:7B,-85
206,2026-02-17 10:47:08,35.51928,11.03415,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-75
206,2026-02-17 10:47:08,35.51928,11.03415,PIX-LINK,90:91:64:25:C9:45,-78
206,2026-02-17 10:47:08,35.51928,11.03415,Orange-0222,02:7E:DE:22:02:24,-85
205,2026-02-17 10:47:03,35.5193,11.03414,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-73
205,2026-02-17 10:47:03,35.5193,11.03414,PIX-LINK,90:91:64:25:C9:45,-76
204,2026-02-17 10:46:58,35.51927,11.03416,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-75
204,2026-02-17 10:46:58,35.51927,11.03416,PIX-LINK,90:91:64:25:C9:45,-78
204,2026-02-17 10:46:58,35.51927,11.03416,ORANGE_D3F3,EC:55:1C:CC:D3:FC,-88
204,2026-02-17 10:46:58,35.51927,11.03416,Orange-0222,02:7E:DE:22:02:24,-85
203,2026-02-17 10:46:53,35.51916,11.03427,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-75
203,2026-02-17 10:46:53,35.51916,11.03427,PIX-LINK,90:91:64:25:C9:45,-80
203,2026-02-17 10:46:53,35.51916,11.03427,ORANGE_D3F3,EC:55:1C:CC:D3:FC,-88
202,2026-02-17 10:46:48,35.51912,11.03428,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-75
202,2026-02-17 10:46:48,35.51912,11.03428,PIX-LINK,90:91:64:25:C9:45,-80
202,2026-02-17 10:46:48,35.51912,11.03428,TOPNET_7470,3C:84:6A:5F:74:70,-81
201,2026-02-17 10:46:43,35.51906,11.03432,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-77
201,2026-02-17 10:46:43,35.51906,11.03432,TOPNET_7470,3C:84:6A:5F:74:70,-81
201,2026-02-17 10:46:43,35.51906,11.03432,PIX-LINK,90:91:64:25:C9:45,-85
200,2026-02-17 10:46:38,35.51886,11.03439,TOPNET_7470,3C:84:6A:5F:74:70,-79
200,2026-02-17 10:46:38,35.51886,11.03439,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-81
200,2026-02-17 10:46:38,35.51886,11.03439,Ooredoo42D6C7,F4:2D:06:42:D6:C7,-82
200,2026-02-17 10:46:38,35.51886,11.03439,PIX-LINK,90:91:64:25:C9:45,-85
199,2026-02-17 10:46:33,35.51905,11.0343,TOPNET_7470,3C:84:6A:5F:74:70,-81
199,2026-02-17 10:46:33,35.51905,11.0343,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-77
199,2026-02-17 10:46:33,35.51905,11.0343,PIX-LINK,90:91:64:25:C9:45,-85
198,2026-02-17 10:46:28,35.51905,11.03431,TOPNET_7470,3C:84:6A:5F:74:70,-81
198,2026-02-17 10:46:28,35.51905,11.03431,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-85
198,2026-02-17 10:46:28,35.51905,11.03431,PIX-LINK,90:91:64:25:C9:45,-85
198,2026-02-17 10:46:28,35.51905,11.03431,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-77
198,2026-02-17 10:46:28,35.51905,11.03431,Ooredoo42D6C7,F4:2D:06:42:D6:C7,-82
197,2026-02-17 10:46:23,35.51906,11.03434,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-85
197,2026-02-17 10:46:23,35.51906,11.03434,PIX-LINK,90:91:64:25:C9:45,-85
197,2026-02-17 10:46:23,35.51906,11.03434,TOPNET_7470,3C:84:6A:5F:74:70,-81
197,2026-02-17 10:46:23,35.51906,11.03434,ORANGE_D3F3,EC:55:1C:CC:D3:FC,-88
196,2026-02-17 10:46:18,35.51882,11.0345,TOPNET_7470,3C:84:6A:5F:74:70,-79
196,2026-02-17 10:46:18,35.51882,11.0345,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-76
196,2026-02-17 10:46:18,35.51882,11.0345,ORANGE_D3F3,EC:55:1C:CC:D3:FC,-85
196,2026-02-17 10:46:18,35.51882,11.0345,TP-LINK_4C32A4,E8:DE:27:4C:32:A4,-81
195,2026-02-17 10:46:13,35.51882,11.0345,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-76
195,2026-02-17 10:46:13,35.51882,11.0345,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-80
195,2026-02-17 10:46:13,35.51882,11.0345,TOPNET_7470,3C:84:6A:5F:74:70,-79
195,2026-02-17 10:46:13,35.51882,11.0345,AP_M32531-7221023FP,28:56:2F:56:A8:E1,-80
195,2026-02-17 10:46:13,35.51882,11.0345,AP_M32531-72210239P,28:56:2F:57:77:D5,-72
195,2026-02-17 10:46:13,35.51882,11.0345,Hexabyte744,1C:64:99:A6:89:A1,-83
195,2026-02-17 10:46:13,35.51882,11.0345,PIX-LINK,90:91:64:25:C9:45,-85
195,2026-02-17 10:46:13,35.51882,11.0345,TP-LINK_4C32A4,E8:DE:27:4C:32:A4,-81
194,2026-02-17 10:46:07,35.51877,11.03455,MAXBOX5G_6D34,A2:C3:1D:34:6D:B7,-76
194,2026-02-17 10:46:07,35.51877,11.03455,TP-LINK_4C32A4,E8:DE:27:4C:32:A4,-81
194,2026-02-17 10:46:07,35.51877,11.03455,Ooredoo _S20_2F8F,98:A9:42:6E:2F:8F,-80
194,2026-02-17 10:46:07,35.51877,11.03455,AP_M32531-72210239P,28:56:2F:57:77:D5,-72
